"","subject","native_lang","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen"
"455","AS1QMPXIT1EGX","English",38,"female","high","high_terrorism",31873,"0","0","1",0,"Store F.","Stores A and F.","Store E.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"456","AS1QMPXIT1EGX","English",38,"female","low","low_la",45674,"0","0","1",0,"Diner E.","Diners A and E.","Diners C, F, A, D, and E.","mo-l","ms-l","exh",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"458","AS1QMPXIT1EGX","English",38,"female","high","high_firefighter",56469,"0","0","0",1,"The fifth floor.","The first floor.","The fourth and sixth floors.","mo-h","f","ms-l",0,1,0,0,1,1,1,0,0,0,0,0,0,1
"459","AS1QMPXIT1EGX","English",38,"female","low","low_pic",20261,"1","0","0",0,"Location A.","Location F.","Location B.","mo-h","mo-l","f",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"461","AS1QMPXIT1EGX","English",38,"female","high","high_operative",64739,"0","1","0",0,"The Northeast and Southwest districts.","The Northeast, Southwest, South, Southeast and North districts.","The Northeast district.","ms-h","exh","mo-h",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"462","AS1QMPXIT1EGX","English",38,"female","low","low_yoga",82974,"1","0","0",0,"Studio F.","Studios C and B.","Studio B.","mo-h","ms-l","mo-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"463","AS1QMPXIT1EGX","English",38,"female","high","high_fbi",26526,"0","1","0",0,"Place F.","Places F, A, B, C and E.","Places F and A.","mo-h","exh","ms-h",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"465","AS1QMPXIT1EGX","English",38,"female","low","low_coffee",22109,"0","0","1",0,"Cafe A.","Cafes E and B.","Cafe E.","f","ms-h","mo-h",0,1,0,1,0,1,1,0,1,0,0,0,0,0
"466","AS1QMPXIT1EGX","English",38,"female","high","high_inspector",30359,"0","1","0",0,"Restaurant E.","Restaurants A and B.","Restaurant A.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"472","A17PAE30BGBO1T","English",40,"male","low","low_yoga",27773,"0","0","1",0,"Studios C and B.","Studio B.","Studios F and E.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"473","A17PAE30BGBO1T","English",40,"male","high","high_firefighter",57264,"0","0","1",0,"The fifth floor.","The fifth and second floors.","The fifth, second, fourth, third and sixth floors.","mo-h","ms-h","exh",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"474","A17PAE30BGBO1T","English",40,"male","low","low_coffee",31655,"0","1","0",0,"Cafe D.","Cafes E, B, F, C and D.","Cafe A.","mo-l","exh","f",1,0,1,0,0,1,1,1,0,0,0,0,0,0
"476","A17PAE30BGBO1T","English",40,"male","high","high_inspector",44832,"1","0","0",0,"Restaurants A, B, C, D, and E.","Restaurants C and E.","Restaurant E.","exh","ms-l","mo-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"477","A17PAE30BGBO1T","English",40,"male","low","low_brother",29664,"0","0","1",0,"Stall E.","Stall C.","Stalls C and D.","f","mo-h","ms-h",0,1,0,1,0,1,1,0,0,0,1,0,0,0
"479","A17PAE30BGBO1T","English",40,"male","high","high_fbi",23306,"1","0","0",0,"Places F, A, B, C and E.","Places B and E.","Place D.","exh","ms-l","f",1,0,0,0,1,1,1,1,0,0,0,0,0,0
"480","A17PAE30BGBO1T","English",40,"male","low","low_pic",16849,"1","0","0",0,"Location A.","Location F.","Location B.","mo-h","mo-l","f",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"481","A17PAE30BGBO1T","English",40,"male","high","high_operative",24989,"0","0","1",0,"The North district.","The Northeast district.","The Northeast, Southwest, South, Southeast and North districts.","mo-l","mo-h","exh",1,1,1,0,0,0,1,1,0,0,0,0,0,0
"483","A17PAE30BGBO1T","English",40,"male","low","low_la",9767,"0","1","0",0,"Diners A and E.","Diners C and F.","Diner E.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"484","A17PAE30BGBO1T","English",40,"male","high","high_terrorism",30217,"0","1","0",0,"Store C.","Stores E, B, A, D, and F.","Store F.","f","exh","mo-l",1,0,1,0,0,1,1,1,0,0,0,0,0,0
"490","A2EPBSY0VPI38S","english",48,"female","low","low_yoga",48025,"1","1","1",0,"Studios F, E, D, C and B.","Studio A.","Studio F.","exh","f","mo-h",1,1,0,0,0,1,1,1,1,0,0,0,1,0
"491","A2EPBSY0VPI38S","english",48,"female","high","high_operative",99386,"1","1","1",0,"The South and North districts.","The Northeast, Southwest, South, Southeast and North districts.","The Northeast and Southwest districts.","ms-l","exh","ms-h",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"493","A2EPBSY0VPI38S","english",48,"female","low","low_brother",29353,"1","1","0",0,"Stall B.","Stalls A and B.","Stall E.","mo-l","ms-l","f",0,0,1,0,1,1,1,0,0,1,0,1,0,0
"494","A2EPBSY0VPI38S","english",48,"female","high","high_fbi",66269,"1","1","1",0,"Place E.","Places B and E.","Place F.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,1,1,0,1,0,0
"496","A2EPBSY0VPI38S","english",48,"female","low","low_la",41578,"1","1","1",0,"Diner B.","Diners C, F, A, D, and E.","Diner E.","f","exh","mo-l",1,0,1,0,0,1,1,1,0,1,0,0,1,0
"497","A2EPBSY0VPI38S","english",48,"female","high","high_terrorism",39153,"1","0","1",0,"Store E.","Stores E, B, A, D, and F.","Stores E and B.","mo-h","exh","ms-h",1,1,0,1,0,0,1,0,1,0,1,0,0,0
"498","A2EPBSY0VPI38S","english",48,"female","low","low_coffee",27713,"1","1","1",0,"Cafes E, B, F, C and D.","Cafes F and D.","Cafes E and B.","exh","ms-l","ms-h",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"500","A2EPBSY0VPI38S","english",48,"female","high","high_inspector",40191,"1","1","1",0,"Restaurants C and E.","Restaurant A.","Restaurant E.","ms-l","mo-h","mo-l",0,1,1,0,1,0,1,0,1,1,0,1,0,0
"501","A2EPBSY0VPI38S","english",48,"female","low","low_pic",52121,"1","0","1",0,"Locations A and D.","Location F.","Location A.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"502","A2EPBSY0VPI38S","english",48,"female","high","high_firefighter",69569,"0","0","1",0,"The fourth and sixth floors.","The fifth floor.","The fifth, second, fourth, third and sixth floors.","ms-l","mo-h","exh",1,1,0,0,1,0,1,1,0,0,0,0,0,0
"508","A2GN5L03ZQEOZF","English",25,"female","high","high_fbi",29145,"1","0","0",0,"Places F and A.","Places B and E.","Place F.","ms-h","ms-l","mo-h",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"509","A2GN5L03ZQEOZF","English",25,"female","low","low_yoga",30463,"0","0","1",0,"Studios F and E.","Studio B.","Studio F.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"511","A2GN5L03ZQEOZF","English",25,"female","high","high_firefighter",68906,"1","1","1",0,"The fourth and sixth floors.","The fifth and second floors.","The sixth floor.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"512","A2GN5L03ZQEOZF","English",25,"female","low","low_brother",35860,"1","1","1",0,"Stall B.","Stall C.","Stalls C and D.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"514","A2GN5L03ZQEOZF","English",25,"female","high","high_operative",73284,"0","0","1",0,"The North district.","The South and North districts.","The Northeast and Southwest districts.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"515","A2GN5L03ZQEOZF","English",25,"female","low","low_pic",31912,"0","0","1",0,"Locations D and F.","Location F.","Locations A and D.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"516","A2GN5L03ZQEOZF","English",25,"female","high","high_inspector",31471,"1","1","1",0,"Restaurant E.","Restaurants A and B.","Restaurant A.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"518","A2GN5L03ZQEOZF","English",25,"female","low","low_la",53815,"1","1","1",0,"Diner E.","Diners C and F.","Diners A and E.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"519","A2GN5L03ZQEOZF","English",25,"female","high","high_terrorism",30414,"0","1","0",0,"Stores E and B.","Stores E, B, A, D, and F.","Store F.","ms-h","exh","mo-l",1,0,1,1,0,0,1,1,0,0,0,0,0,0
"520","A2GN5L03ZQEOZF","English",25,"female","low","low_coffee",19443,"1","1","0",0,"Cafes E and B.","Cafe E.","Cafe D.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"526","A2EUXA84IMO859","English",44,"female","low","low_coffee",51777,"0","0","1",0,"Cafe D.","Cafe A.","Cafes E, B, F, C and D.","mo-l","f","exh",1,0,1,0,0,1,1,1,0,0,0,0,0,0
"527","A2EUXA84IMO859","English",44,"female","high","high_terrorism",29618,"1","1","0",0,"Stores E and B.","Store E.","Stores A and F.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"529","A2EUXA84IMO859","English",44,"female","low","low_pic",21960,"0","0","1",0,"Locations D and F.","Locations A and D.","Location A.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"530","A2EUXA84IMO859","English",44,"female","high","high_fbi",15296,"0","0","1",0,"Place E.","Places B and E.","Places F and A.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"532","A2EUXA84IMO859","English",44,"female","low","low_la",8259,"0","0","1",0,"Diners C, F, A, D, and E.","Diner E.","Diner C.","exh","mo-l","mo-h",1,1,1,0,0,0,1,0,1,0,0,0,0,0
"533","A2EUXA84IMO859","English",44,"female","high","high_operative",21906,"0","0","1",0,"The South and North districts.","The North district.","The Northeast and Southwest districts.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"534","A2EUXA84IMO859","English",44,"female","low","low_brother",18023,"1","0","0",0,"Stall C.","Stalls C, D, A, F and B.","Stalls A and B.","mo-h","exh","ms-l",1,1,0,0,1,0,1,0,1,0,0,0,0,0
"536","A2EUXA84IMO859","English",44,"female","high","high_firefighter",24749,"1","1","1",0,"The fourth and sixth floors.","The fifth floor.","The first floor.","ms-l","mo-h","f",0,1,0,0,1,1,1,0,1,0,0,1,1,0
"537","A2EUXA84IMO859","English",44,"female","low","low_yoga",12390,"1","1","1",0,"Studio A.","Studios C and B.","Studio B.","f","ms-l","mo-l",0,0,1,0,1,1,1,0,0,1,0,1,1,0
"538","A2EUXA84IMO859","English",44,"female","high","high_inspector",29641,"1","1","1",0,"Restaurants A, B, C, D, and E.","Restaurants A and B.","Restaurant E.","exh","ms-h","mo-l",1,0,1,1,0,0,1,1,0,1,1,0,0,0
"544","A3DB11T127QKJF","english",27,"male","high","high_fbi",62039,"1","1","1",0,"Places F and A.","Place E.","Places B and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"545","A3DB11T127QKJF","english",27,"male","low","low_yoga",21925,"1","1","1",0,"Studios F and E.","Studio B.","Studio F.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"546","A3DB11T127QKJF","english",27,"male","high","high_operative",64545,"1","1","1",0,"The Northeast, Southwest, South, Southeast and North districts.","The North district.","The Northeast and Southwest districts.","exh","mo-l","ms-h",1,0,1,1,0,0,1,1,0,1,1,0,0,0
"548","A3DB11T127QKJF","english",27,"male","low","low_brother",38631,"1","1","1",0,"Stalls A and B.","Stalls C and D.","Stalls C, D, A, F and B.","ms-l","ms-h","exh",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"549","A3DB11T127QKJF","english",27,"male","high","high_inspector",23019,"1","1","1",0,"Restaurant E.","Restaurant A.","Restaurants C and E.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,1,0,1,0,0
"551","A3DB11T127QKJF","english",27,"male","low","low_pic",33537,"0","1","1",0,"Location B.","Locations D and F.","Location F.","f","ms-l","mo-l",0,0,1,0,1,1,1,0,0,1,0,1,0,0
"552","A3DB11T127QKJF","english",27,"male","high","high_terrorism",23445,"1","1","1",0,"Stores E, B, A, D, and F.","Stores A and F.","Store E.","exh","ms-l","mo-h",1,1,0,0,1,0,1,1,1,0,0,1,0,0
"553","A3DB11T127QKJF","english",27,"male","low","low_coffee",11577,"1","1","0",0,"Cafes E and B.","Cafe E.","Cafe A.","ms-h","mo-h","f",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"555","A3DB11T127QKJF","english",27,"male","high","high_firefighter",9918,"1","1","0",0,"The fourth and sixth floors.","The fifth floor.","The first floor.","ms-l","mo-h","f",0,1,0,0,1,1,1,0,1,0,0,1,0,0
"556","A3DB11T127QKJF","english",27,"male","low","low_la",11712,"1","1","1",0,"Diner C.","Diners C and F.","Diner E.","mo-h","ms-h","mo-l",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"562","A187VXD4ETY6M2","English",32,"female","low","low_yoga",23294,"0","1","0",0,"Studios F and E.","Studio F.","Studio B.","ms-h","mo-h","mo-l",0,1,1,1,0,0,1,0,1,0,0,0,0,0
"563","A187VXD4ETY6M2","English",32,"female","high","high_firefighter",24202,"1","0","0",0,"The fifth and second floors.","The sixth floor.","The fourth and sixth floors.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"565","A187VXD4ETY6M2","English",32,"female","low","low_pic",73025,"1","0","0",0,"Locations A, D, E, and F.","Location F.","Locations D and F.","exh","mo-l","ms-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"566","A187VXD4ETY6M2","English",32,"female","high","high_terrorism",26511,"1","0","1",0,"Store E.","Store C.","Stores E and B.","mo-h","f","ms-h",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"568","A187VXD4ETY6M2","English",32,"female","low","low_brother",39848,"1","0","1",0,"Stalls A and B.","Stall E.","Stalls C and D.","ms-l","f","ms-h",0,0,0,1,1,1,1,0,0,0,1,1,0,0
"569","A187VXD4ETY6M2","English",32,"female","high","high_operative",74089,"0","0","0",1,"The West district.","The South and North districts.","The North district.","f","ms-l","mo-l",0,0,1,0,1,1,1,0,0,0,0,0,0,1
"570","A187VXD4ETY6M2","English",32,"female","low","low_la",16962,"1","0","1",0,"Diners C, F, A, D, and E.","Diner E.","Diners C and F.","exh","mo-l","ms-h",1,0,1,1,0,0,1,1,0,0,1,0,0,0
"572","A187VXD4ETY6M2","English",32,"female","high","high_inspector",32469,"0","0","1",0,"Restaurant E.","Restaurants C and E.","Restaurants A, B, C, D, and E.","mo-l","ms-l","exh",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"573","A187VXD4ETY6M2","English",32,"female","low","low_coffee",26879,"1","1","0",0,"Cafes E and B.","Cafes E, B, F, C and D.","Cafe A.","ms-h","exh","f",1,0,0,1,0,1,1,1,0,0,1,0,0,0
"574","A187VXD4ETY6M2","English",32,"female","high","high_fbi",61546,"0","0","0",1,"Place D.","Place F.","Place E.","f","mo-h","mo-l",0,1,1,0,0,1,1,0,0,0,0,0,0,1
"580","A1USR9JCAMDGM3","English",32,"female","high","high_firefighter",49560,"1","1","1",0,"The fifth and second floors.","The fifth floor.","The fifth, second, fourth, third and sixth floors.","ms-h","mo-h","exh",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"581","A1USR9JCAMDGM3","English",32,"female","low","low_brother",31787,"1","1","1",0,"Stall E.","Stalls C and D.","Stall C.","f","ms-h","mo-h",0,1,0,1,0,1,1,0,1,0,1,0,1,0
"583","A1USR9JCAMDGM3","English",32,"female","high","high_terrorism",16672,"1","1","1",0,"Stores E, B, A, D, and F.","Store E.","Stores E and B.","exh","mo-h","ms-h",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"584","A1USR9JCAMDGM3","English",32,"female","low","low_la",21884,"0","1","0",0,"Diners C, F, A, D, and E.","Diner C.","Diner B.","exh","mo-h","f",1,1,0,0,0,1,1,0,1,0,0,0,0,0
"586","A1USR9JCAMDGM3","English",32,"female","high","high_inspector",29154,"0","0","1",0,"Restaurants C and E.","Restaurant F.","Restaurant A.","ms-l","f","mo-h",0,1,0,0,1,1,1,0,1,0,0,0,0,0
"587","A1USR9JCAMDGM3","English",32,"female","low","low_yoga",7600,"0","1","0",0,"Studio B.","Studio F.","Studios C and B.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"588","A1USR9JCAMDGM3","English",32,"female","high","high_fbi",7208,"0","1","1",0,"Places B and E.","Place F.","Places F and A.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"590","A1USR9JCAMDGM3","English",32,"female","low","low_coffee",9437,"0","1","0",0,"Cafe D.","Cafes E and B.","Cafes F and D.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"591","A1USR9JCAMDGM3","English",32,"female","high","high_operative",18588,"1","0","1",0,"The Northeast, Southwest, South, Southeast and North districts.","The West district.","The Northeast district.","exh","f","mo-h",1,1,0,0,0,1,1,1,1,0,0,0,0,0
"592","A1USR9JCAMDGM3","English",32,"female","low","low_pic",10355,"0","1","1",0,"Location B.","Locations A, D, E, and F.","Location A.","f","exh","mo-h",1,1,0,0,0,1,1,1,1,0,0,0,0,0
"598","A1IS0218RVG60K","English",39,"female","low","low_yoga",19542,"1","1","1",0,"Studio A.","Studio F.","Studios F and E.","f","mo-h","ms-h",0,1,0,1,0,1,1,0,1,0,1,0,1,0
"599","A1IS0218RVG60K","English",39,"female","high","high_fbi",16138,"1","1","1",0,"Places F, A, B, C and E.","Places F and A.","Place D.","exh","ms-h","f",1,0,0,1,0,1,1,1,0,0,1,0,1,0
"600","A1IS0218RVG60K","English",39,"female","low","low_pic",66712,"0","0","1",0,"Location B.","Location F.","Location A.","f","mo-l","mo-h",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"602","A1IS0218RVG60K","English",39,"female","high","high_firefighter",12550,"1","1","0",0,"The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","The first floor.","exh","ms-h","f",1,0,0,1,0,1,1,1,0,0,1,0,0,0
"603","A1IS0218RVG60K","English",39,"female","low","low_coffee",13814,"1","0","0",0,"Cafe E.","Cafe D.","Cafes F and D.","mo-h","mo-l","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"605","A1IS0218RVG60K","English",39,"female","high","high_operative",19366,"1","0","1",0,"The South and North districts.","The North district.","The Northeast and Southwest districts.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,0,1,1,0,0
"606","A1IS0218RVG60K","English",39,"female","low","low_brother",114864,"1","1","1",0,"Stalls A and B.","Stall C.","Stalls C and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"607","A1IS0218RVG60K","English",39,"female","high","high_inspector",12110,"1","1","1",0,"Restaurant E.","Restaurants A and B.","Restaurants C and E.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"609","A1IS0218RVG60K","English",39,"female","low","low_la",9198,"1","1","1",0,"Diner E.","Diners C and F.","Diners A and E.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"610","A1IS0218RVG60K","English",39,"female","high","high_terrorism",14588,"1","0","1",0,"Stores E and B.","Store F.","Stores A and F.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,1,1,0,0
"616","A39DNHD26OMN4Q","english",24,"male","high","high_terrorism",3888,"0","1","0",0,"Store C.","Store E.","Store F.","f","mo-h","mo-l",0,1,1,0,0,1,1,0,1,0,0,0,0,0
"617","A39DNHD26OMN4Q","english",24,"male","low","low_yoga",2314,"0","0","1",0,"Studios C and B.","Studio B.","Studio F.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"619","A39DNHD26OMN4Q","english",24,"male","high","high_fbi",13196,"1","1","1",0,"Place D.","Place E.","Places F and A.","f","mo-l","ms-h",0,0,1,1,0,1,1,0,0,1,1,0,1,0
"620","A39DNHD26OMN4Q","english",24,"male","low","low_pic",33250,"1","1","1",0,"Location F.","Location A.","Locations A, D, E, and F.","mo-l","mo-h","exh",1,1,1,0,0,0,1,1,1,1,0,0,0,0
"622","A39DNHD26OMN4Q","english",24,"male","high","high_inspector",4019,"0","1","0",0,"Restaurant E.","Restaurants A, B, C, D, and E.","Restaurants A and B.","mo-l","exh","ms-h",1,0,1,1,0,0,1,1,0,0,0,0,0,0
"623","A39DNHD26OMN4Q","english",24,"male","low","low_coffee",2244,"0","0","1",0,"Cafes F and D.","Cafes E and B.","Cafe E.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"624","A39DNHD26OMN4Q","english",24,"male","high","high_firefighter",4395,"0","1","0",0,"The sixth floor.","The fifth and second floors.","The fifth floor.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"626","A39DNHD26OMN4Q","english",24,"male","low","low_brother",3762,"0","1","0",0,"Stalls C and D.","Stall B.","Stall C.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,0,1,0,0,0,0
"627","A39DNHD26OMN4Q","english",24,"male","high","high_operative",3009,"0","1","0",0,"The North district.","The South and North districts.","The Northeast district.","mo-l","ms-l","mo-h",0,1,1,0,1,0,1,0,0,0,0,1,0,0
"628","A39DNHD26OMN4Q","english",24,"male","low","low_la",2301,"0","1","0",0,"Diner C.","Diners C and F.","Diner E.","mo-h","ms-h","mo-l",0,1,1,1,0,0,1,0,0,0,1,0,0,0
"634","A1V9G7V6ZYACIR","english",28,"male","high","high_terrorism",56352,"1","0","0",0,"Store C.","Store F.","Stores E and B.","f","mo-l","ms-h",0,0,1,1,0,1,1,0,0,0,0,0,1,0
"635","A1V9G7V6ZYACIR","english",28,"male","low","low_brother",36309,"1","1","1",0,"Stalls A and B.","Stalls C and D.","Stall B.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"637","A1V9G7V6ZYACIR","english",28,"male","high","high_inspector",19806,"1","1","1",0,"Restaurant E.","Restaurants A and B.","Restaurants C and E.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"638","A1V9G7V6ZYACIR","english",28,"male","low","low_pic",27924,"0","0","1",0,"Location F.","Location A.","Locations D and F.","mo-l","mo-h","ms-l",0,1,1,0,1,0,1,0,0,0,0,1,0,0
"640","A1V9G7V6ZYACIR","english",28,"male","high","high_operative",29334,"0","0","1",0,"The South and North districts.","The North district.","The Northeast district.","ms-l","mo-l","mo-h",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"641","A1V9G7V6ZYACIR","english",28,"male","low","low_coffee",13803,"1","1","0",0,"Cafes E and B.","Cafe E.","Cafe A.","ms-h","mo-h","f",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"642","A1V9G7V6ZYACIR","english",28,"male","high","high_fbi",236961,"0","1","1",0,"Place E.","Place F.","Places F, A, B, C and E.","mo-l","mo-h","exh",1,1,1,0,0,0,1,1,1,0,0,0,0,0
"644","A1V9G7V6ZYACIR","english",28,"male","low","low_la",138785,"1","1","1",0,"Diners C, F, A, D, and E.","Diners A and E.","Diner E.","exh","ms-l","mo-l",1,0,1,0,1,0,1,1,0,1,0,1,0,0
"645","A1V9G7V6ZYACIR","english",28,"male","high","high_firefighter",20917,"1","1","1",0,"The fourth and sixth floors.","The sixth floor.","The fifth and second floors.","ms-l","mo-l","ms-h",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"646","A1V9G7V6ZYACIR","english",28,"male","low","low_yoga",10656,"1","1","1",0,"Studios C and B.","Studios F and E.","Studio F.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"652","AM2KK02JXXW48","English",40,"male","high","high_firefighter",44338,"1","1","1",0,"The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","The sixth floor.","exh","ms-h","mo-l",1,0,1,1,0,0,1,1,0,1,1,0,0,0
"653","AM2KK02JXXW48","English",40,"male","low","low_brother",38529,"1","1","1",0,"Stalls A and B.","Stall C.","Stalls C and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"654","AM2KK02JXXW48","English",40,"male","high","high_inspector",29334,"1","1","1",0,"Restaurant A.","Restaurant E.","Restaurants A and B.","mo-h","mo-l","ms-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"656","AM2KK02JXXW48","English",40,"male","low","low_pic",24289,"1","1","1",0,"Locations A and D.","Location A.","Locations D and F.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"657","AM2KK02JXXW48","English",40,"male","high","high_operative",68373,"1","1","1",0,"The Northeast, Southwest, South, Southeast and North districts.","The Northeast district.","The South and North districts.","exh","mo-h","ms-l",1,1,0,0,1,0,1,1,1,0,0,1,0,0
"659","AM2KK02JXXW48","English",40,"male","low","low_coffee",26632,"1","1","0",0,"Cafes E and B.","Cafes F and D.","Cafe A.","ms-h","ms-l","f",0,0,0,1,1,1,1,0,0,0,1,1,0,0
"660","AM2KK02JXXW48","English",40,"male","high","high_terrorism",41835,"1","1","0",0,"Store E.","Store F.","Store C.","mo-h","mo-l","f",0,1,1,0,0,1,1,0,1,1,0,0,0,0
"661","AM2KK02JXXW48","English",40,"male","low","low_yoga",33599,"1","1","1",0,"Studio F.","Studio B.","Studios C and B.","mo-h","mo-l","ms-l",0,1,1,0,1,0,1,0,1,1,0,1,0,0
"663","AM2KK02JXXW48","English",40,"male","high","high_fbi",37447,"0","1","1",0,"Place D.","Places F and A.","Place F.","f","ms-h","mo-h",0,1,0,1,0,1,1,0,1,0,1,0,0,0
"664","AM2KK02JXXW48","English",40,"male","low","low_la",106470,"1","1","1",0,"Diners C and F.","Diner B.","Diners A and E.","ms-h","f","ms-l",0,0,0,1,1,1,1,0,0,0,1,1,1,0
"670","A3L2UB07EZJAMD","English",49,"male","high","high_operative",77881,"1","0","0",0,"The Northeast, Southwest, South, Southeast and North districts.","The South and North districts.","The Northeast district.","exh","ms-l","mo-h",1,1,0,0,1,0,1,1,0,0,0,0,0,0
"671","A3L2UB07EZJAMD","English",49,"male","low","low_la",32379,"1","0","0",0,"Diners C and F.","Diner E.","Diners A and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"673","A3L2UB07EZJAMD","English",49,"male","high","high_firefighter",121512,"0","0","1",0,"The fifth floor.","The fourth and sixth floors.","The fifth and second floors.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"674","A3L2UB07EZJAMD","English",49,"male","low","low_coffee",38802,"1","0","1",0,"Cafe E.","Cafe A.","Cafes E, B, F, C and D.","mo-h","f","exh",1,1,0,0,0,1,1,1,1,0,0,0,0,0
"676","A3L2UB07EZJAMD","English",49,"male","high","high_terrorism",70790,"1","0","0",0,"Stores E and B.","Stores E, B, A, D, and F.","Store E.","ms-h","exh","mo-h",1,1,0,1,0,0,1,0,0,0,1,0,0,0
