"","subject","age","gender","trial","story","reaction_time","response_a","response_b","response_c","response_d","report_a","report_b","report_c","tag_a","tag_b","tag_c","exhaustive_seen","mention_one_high_seen","mention_one_low_seen","mention_some_high_seen","mention_some_low_seen","false_report_seen","none_of_above_seen","exhaustive_chosen","mention_one_high_chosen","mention_one_low_chosen","mention_some_high_chosen","mention_some_low_chosen","false_report_chosen","none_of_above_chosen"
"248",14,23,"female","low","low_brother",47324,"1","1","1",0,"Markets C and D.","Market B.","Market C.","ms-h","mo-l","mo-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"249",14,23,"female","high","high_firefighter",59076,"1","0","0",0,"The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","The fourth and sixth floors.","exh","ms-h","ms-l",1,0,0,1,1,0,1,1,0,0,0,0,0,0
"250",14,23,"female","low","low_la",66603,"0","0","1",0,"Diners C, F, A, D, and E.","Diners C and F.","Diner C.","exh","ms-h","mo-h",1,1,0,1,0,0,1,0,1,0,0,0,0,0
"256",15,26,"male","high","high_fbi",37293,"0","0","0",1,"Places F, A, B, C and E.","Places F and A.","Places B and E.","exh","ms-h","ms-l",1,0,0,1,1,0,1,0,0,0,0,0,0,1
"257",15,26,"male","low","low_coffee",26462,"0","0","1",0,"Cafes F and D.","Cafes E and B.","Cafe E.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"259",15,26,"male","high","high_operative",91070,"0","0","0",1,"The South and North districts.","The Northeast and Southwest districts.","The Northeast district.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,0,0,0,0,0,1
"260",15,26,"male","low","low_brother",46979,"1","1","1",0,"Markets C, D, A, F and B.","Market C.","Markets C and D.","exh","mo-h","ms-h",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"262",15,26,"male","high","high_terrorism",32070,"0","0","1",0,"Store E.","Stores E and B.","Stores E, B, A, D, and F.","mo-h","ms-h","exh",1,1,0,1,0,0,1,1,0,0,0,0,0,0
"263",15,26,"male","low","low_pic",15260,"0","1","0",0,"Locations D and F.","Location A.","Locations A and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"264",15,26,"male","high","high_firefighter",186324,"0","0","0",1,"The sixth floor.","The fourth and sixth floors.","The fifth and second floors.","mo-l","ms-l","ms-h",0,0,1,1,1,0,1,0,0,0,0,0,0,1
"266",15,26,"male","low","low_yoga",11765,"0","0","1",0,"Studios C and B.","Studios F and E.","Studio F.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,0,0,0,0
"267",15,26,"male","high","high_inspector",23549,"0","0","1",0,"Restaurant E.","Restaurant A.","Restaurants A, B, C, D, and E.","mo-l","mo-h","exh",1,1,1,0,0,0,1,1,0,0,0,0,0,0
"268",15,26,"male","low","low_la",24851,"0","0","0",1,"Diners A and E.","Diners C and F.","Diners C, F, A, D, and E.","ms-l","ms-h","exh",1,0,0,1,1,0,1,0,0,0,0,0,0,1
"274",16,20,"female","high","high_inspector",64819,"1","1","1",0,"Restaurants A and B.","Restaurant E.","Restaurants C and E.","ms-h","mo-l","ms-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"275",16,20,"female","low","low_coffee",101659,"1","1","1",0,"Cafes F and D.","Cafes E, B, F, C and D.","Cafes E and B.","ms-l","exh","ms-h",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"276",16,20,"female","high","high_operative",95883,"1","1","1",0,"The Northeast district.","The Northeast and Southwest districts.","The South and North districts.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"278",16,20,"female","low","low_brother",46878,"1","0","1",0,"Market C.","Markets A and B.","Markets C and D.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"279",16,20,"female","high","high_firefighter",64212,"1","1","1",0,"The sixth floor.","The fifth floor.","The fifth and second floors.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"281",16,20,"female","low","low_la",44004,"1","1","0",0,"Diners C and F.","Diners A and E.","Diner E.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,0,1,1,0,0
"282",16,20,"female","high","high_fbi",59273,"1","0","1",0,"Place F.","Place E.","Places F, A, B, C and E.","mo-h","mo-l","exh",1,1,1,0,0,0,1,1,1,0,0,0,0,0
"283",16,20,"female","low","low_pic",48623,"0","1","1",0,"Locations D and F.","Locations A and D.","Location A.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"285",16,20,"female","high","high_terrorism",61732,"1","0","1",0,"Stores E, B, A, D, and F.","Store F.","Store E.","exh","mo-l","mo-h",1,1,1,0,0,0,1,1,1,0,0,0,0,0
"286",16,20,"female","low","low_yoga",47605,"1","1","0",0,"Studios F, E, D, C and B.","Studios F and E.","Studios C and B.","exh","ms-h","ms-l",1,0,0,1,1,0,1,1,0,0,1,0,0,0
"292",17,22,"male","low","low_pic",78331,"1","1","0",0,"Location A.","Locations A and D.","Locations D and F.","mo-h","ms-h","ms-l",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"293",17,22,"male","high","high_firefighter",89859,"1","1","1",0,"The fifth, second, fourth, third and sixth floors.","The fifth and second floors.","The fifth floor.","exh","ms-h","mo-h",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"294",17,22,"male","low","low_la",53924,"0","1","1",0,"Diner E.","Diner C.","Diners C and F.","mo-l","mo-h","ms-h",0,1,1,1,0,0,1,0,1,0,1,0,0,0
"296",17,22,"male","high","high_operative",92172,"1","1","1",0,"The North district.","The Northeast and Southwest districts.","The Northeast district.","mo-l","ms-h","mo-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"297",17,22,"male","low","low_yoga",33701,"0","1","1",0,"Studios C and B.","Studio F.","Studios F, E, D, C and B.","ms-l","mo-h","exh",1,1,0,0,1,0,1,1,1,0,0,0,0,0
"299",17,22,"male","high","high_fbi",59948,"1","1","0",0,"Place E.","Place F.","Places F, A, B, C and E.","mo-l","mo-h","exh",1,1,1,0,0,0,1,0,1,1,0,0,0,0
"300",17,22,"male","low","low_brother",60803,"0","1","0",0,"Markets A and B.","Markets C and D.","Market B.","ms-l","ms-h","mo-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"301",17,22,"male","high","high_terrorism",67036,"1","1","1",0,"Store E.","Stores A and F.","Stores E and B.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"303",17,22,"male","low","low_coffee",35052,"0","0","1",0,"Cafes E, B, F, C and D.","Cafes F and D.","Cafe E.","exh","ms-l","mo-h",1,1,0,0,1,0,1,0,1,0,0,0,0,0
"304",17,22,"male","high","high_inspector",60172,"1","0","0",0,"Restaurants A, B, C, D, and E.","Restaurant E.","Restaurants A and B.","exh","mo-l","ms-h",1,0,1,1,0,0,1,1,0,0,0,0,0,0
"310",18,20,"female","low","low_brother",53715,"0","1","1",0,"Markets A and B.","Market C.","Markets C and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"311",18,20,"female","high","high_firefighter",54684,"1","1","1",0,"The fifth and second floors.","The fourth and sixth floors.","The sixth floor.","ms-h","ms-l","mo-l",0,0,1,1,1,0,1,0,0,1,1,1,0,0
"312",18,20,"female","low","low_pic",56700,"1","0","0",0,"Location A.","Location F.","Locations D and F.","mo-h","mo-l","ms-l",0,1,1,0,1,0,1,0,1,0,0,0,0,0
"314",18,20,"female","high","high_inspector",74571,"1","0","0",0,"Restaurants A and B.","Restaurant A.","Restaurants C and E.","ms-h","mo-h","ms-l",0,1,0,1,1,0,1,0,0,0,1,0,0,0
"315",18,20,"female","low","low_coffee",71572,"1","1","0",0,"Cafes E and B.","Cafe E.","Cafes E, B, F, C and D.","ms-h","mo-h","exh",1,1,0,1,0,0,1,0,1,0,1,0,0,0
"317",18,20,"female","high","high_operative",71413,"1","1","1",0,"The Northeast, Southwest, South, Southeast and North districts.","The Northeast and Southwest districts.","The Northeast district.","exh","ms-h","mo-h",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"318",18,20,"female","low","low_yoga",43683,"1","1","1",0,"Studio F.","Studio B.","Studios F and E.","mo-h","mo-l","ms-h",0,1,1,1,0,0,1,0,1,1,1,0,0,0
"319",18,20,"female","high","high_fbi",30565,"1","1","1",0,"Place F.","Places F, A, B, C and E.","Places F and A.","mo-h","exh","ms-h",1,1,0,1,0,0,1,1,1,0,1,0,0,0
"321",18,20,"female","low","low_la",40468,"1","1","1",0,"Diners C and F.","Diners A and E.","Diner C.","ms-h","ms-l","mo-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"322",18,20,"female","high","high_terrorism",51644,"0","1","1",0,"Stores A and F.","Stores E and B.","Store E.","ms-l","ms-h","mo-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"328",19,27,"male","low","low_la",65975,"1","1","1",0,"Diners C and F.","Diners A and E.","Diners C, F, A, D, and E.","ms-h","ms-l","exh",1,0,0,1,1,0,1,1,0,0,1,1,0,0
"329",19,27,"male","high","high_operative",100581,"1","0","0",0,"The Northeast, Southwest, South, Southeast and North districts.","The North district.","The South and North districts.","exh","mo-l","ms-l",1,0,1,0,1,0,1,1,0,0,0,0,0,0
"330",19,27,"male","low","low_pic",76440,"1","0","1",0,"Location A.","Locations D and F.","Locations A and D.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"332",19,27,"male","high","high_terrorism",84918,"1","0","1",0,"Store E.","Stores A and F.","Stores E and B.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"333",19,27,"male","low","low_brother",79441,"1","1","1",0,"Markets A and B.","Market C.","Markets C and D.","ms-l","mo-h","ms-h",0,1,0,1,1,0,1,0,1,0,1,1,0,0
"335",19,27,"male","high","high_inspector",46179,"1","0","1",0,"Restaurant A.","Restaurants C and E.","Restaurants A and B.","mo-h","ms-l","ms-h",0,1,0,1,1,0,1,0,1,0,1,0,0,0
"336",19,27,"male","low","low_coffee",42692,"0","1","0",0,"Cafes E, B, F, C and D.","Cafe E.","Cafes F and D.","exh","mo-h","ms-l",1,1,0,0,1,0,1,0,1,0,0,0,0,0
"337",19,27,"male","high","high_fbi",36223,"0","1","0",0,"Place E.","Places F and A.","Places B and E.","mo-l","ms-h","ms-l",0,0,1,1,1,0,1,0,0,0,1,0,0,0
"339",19,27,"male","low","low_yoga",52112,"0","0","1",0,"Studios F, E, D, C and B.","Studio F.","Studios F and E.","exh","mo-h","ms-h",1,1,0,1,0,0,1,0,0,0,1,0,0,0
"340",19,27,"male","high","high_firefighter",46851,"1","0","1",0,"The fifth and second floors.","The fourth and sixth floors.","The fifth, second, fourth, third and sixth floors.","ms-h","ms-l","exh",1,0,0,1,1,0,1,1,0,0,1,0,0,0
