subject,native_lang,trial,story,tense,tag_a,tag_b,tag_c,exhaustive_seen,mention_one_high_seen,mention_one_low_seen,mention_some_high_seen,mention_some_low_seen,false_report_seen,none_of_above_seen,exhaustive_chosen,mention_one_high_chosen,mention_one_low_chosen,mention_some_high_chosen,mention_some_low_chosen,false_report_chosen,none_of_above_chosen
A3A4UFCFF9DMW3,english,test,test_shoes,present,ms-l,exh,mo-l,1,0,1,0,1,0,1,0,0,1,0,0,0,0
A3A4UFCFF9DMW3,english,test,test_hair,present,ms-h,mo-l,ms-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A3A4UFCFF9DMW3,english,test,test_coffee,present,mo-l,ms-l,ms-h,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A1WKF2VH7TV0H2,English,test,test_shoes,present,mo-h,mo-l,fa,0,1,1,0,0,0,1,0,1,1,0,0,0,0
ABZ1LM3J8REE6,english,test,test_books,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
ABZ1LM3J8REE6,english,test,test_hair,present,mo-l,ms-h,exh,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A1WL6K3EUA2WOX,ENGLISH,test,test_shoes,present,mo-l,ms-l,exh,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A1WL6K3EUA2WOX,ENGLISH,test,test_hair,present,mo-l,fa,ms-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A1WL6K3EUA2WOX,ENGLISH,test,test_yarn,present,exh,mo-l,ms-l,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A1WL6K3EUA2WOX,ENGLISH,test,test_books,present,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1WL6K3EUA2WOX,ENGLISH,test,test_coffee,present,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2APHZ2KOI1MPI,English,test,test_dentist,present,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,0,1,0,0
A2APHZ2KOI1MPI,English,test,test_hair,present,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,0,1,0,1,0,0
A2APHZ2KOI1MPI,English,test,test_coffee,present,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,0,1,0,0,0,0
A2APHZ2KOI1MPI,English,test,test_books,present,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,0,1,0,1,0,0
A1C7XI68SED8JE,english,test,test_shoes,present,exh,ms-h,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A1C7XI68SED8JE,english,test,test_coffee,present,mo-l,exh,mo-h,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A1C7XI68SED8JE,english,test,test_yarn,present,mo-h,ms-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A39PWM9C4U0TEP,English,test,test_yarn,present,ms-l,fa,mo-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A39PWM9C4U0TEP,English,test,test_shoes,present,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1WLRHL0U23N38,English,test,test_coffee,present,mo-l,ms-h,fa,0,0,1,1,0,0,1,0,0,1,1,0,0,0
AW9WE7LS8R57M,english,test,test_hair,present,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A173XG3NZ7JPT7,english,test,test_coffee,present,mo-h,ms-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A173XG3NZ7JPT7,english,test,test_dentist,present,mo-l,exh,ms-h,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A173XG3NZ7JPT7,english,test,test_yarn,present,exh,fa,mo-l,1,0,1,0,0,0,1,1,0,1,0,0,0,0
A173XG3NZ7JPT7,english,test,test_hair,present,ms-l,mo-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A10LLZZHZVGWRW,english,test,test_books,present,ms-l,mo-l,exh,1,0,1,0,1,0,1,0,0,1,0,1,0,0
A10LLZZHZVGWRW,english,test,test_shoes,present,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,0,1,0,1,0,0
A2GV053CR3O08G,ENGLISH,test,test_yarn,present,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A2A3X2W4YS9X8A,English,test,test_books,present,fa,mo-l,mo-h,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A2A3X2W4YS9X8A,English,test,test_coffee,present,ms-l,mo-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A19D2W1PR68NO,English,test,test_coffee,present,exh,mo-l,mo-h,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A26FRAYAIDR4NV,english,test,test_coffee,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
A26FRAYAIDR4NV,english,test,test_dentist,present,mo-h,mo-l,ms-h,0,1,1,1,0,0,1,0,0,1,0,0,0,0
A03172343NB8PHOPICC1,English,test,test_books,present,mo-l,ms-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A03172343NB8PHOPICC1,English,test,test_coffee,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A03172343NB8PHOPICC1,English,test,test_dentist,present,exh,mo-l,ms-l,1,0,1,0,1,0,1,1,0,1,0,1,0,0
A2EW08X2I87RXL,English,test,test_books,present,mo-l,ms-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A2EW08X2I87RXL,English,test,test_shoes,present,mo-l,ms-h,exh,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A2EW08X2I87RXL,English,test,test_coffee,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A28LPPFS7FW2SD,English,test,test_books,present,mo-h,fa,mo-l,0,1,1,0,0,0,1,0,1,1,0,0,0,0
A28LPPFS7FW2SD,English,test,test_coffee,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A28LPPFS7FW2SD,English,test,test_shoes,present,ms-h,ms-l,mo-l,0,0,1,1,1,0,1,0,0,1,0,1,0,0
AWZCVOUD0LPT,hindi,test,test_yarn,present,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
AZCGSVDT79E6X,English,test,test_books,present,exh,ms-h,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A3UN1F1EOHKKE6,English,test,test_dentist,present,exh,fa,mo-l,1,0,1,0,0,0,1,1,0,1,0,0,0,0
AXP8EG22MPZY8,English,test,test_coffee,present,ms-l,exh,mo-l,1,0,1,0,1,0,1,0,0,1,0,1,0,0
AXP8EG22MPZY8,English,test,test_yarn,present,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A1XATJA7ENOGWB,English,test,test_books,present,exh,ms-h,mo-l,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A1XATJA7ENOGWB,English,test,test_shoes,present,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A1XATJA7ENOGWB,English,test,test_coffee,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A2W5Q0IVJUS7Y6,English,test,test_dentist,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,1,1,0,0,0,0
A2W5Q0IVJUS7Y6,English,test,test_coffee,present,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,1,1,0,0,0,0
A2W5Q0IVJUS7Y6,English,test,test_yarn,present,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
AKAPWAUEDPVGV,english,test,test_hair,present,ms-l,mo-l,mo-h,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A39BSJLRE2AQD4,english,test,test_yarn,present,fa,mo-l,ms-l,0,0,1,0,1,0,1,0,0,1,0,0,0,0
A125AOX978LDG7,English ,test,test_shoes,present,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A125AOX978LDG7,English ,test,test_hair,present,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A125AOX978LDG7,English ,test,test_yarn,present,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A125AOX978LDG7,English ,test,test_coffee,present,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A12569NJ7KY1KX,english,test,test_dentist,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A2W1QLIYADUJU3,ENGLISH,test,test_dentist,present,ms-l,mo-l,ms-h,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A1TSQCY9QR6RM7,English,test,test_hair,present,mo-l,mo-h,ms-l,0,1,1,0,1,0,1,0,0,1,0,0,0,0
A1CJZOKUD5J0H1,ENGLISH,test,test_hair,present,mo-l,fa,mo-h,0,1,1,0,0,0,1,0,0,1,0,0,0,0
A1CJZOKUD5J0H1,ENGLISH,test,test_yarn,present,mo-h,mo-l,ms-l,0,1,1,0,1,0,1,0,0,1,0,1,0,0
A2SZRPGIEYRCG6,ENGLISH,test,test_books,present,exh,mo-l,ms-h,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A2LV5432PV1S39,English,test,test_dentist,present,mo-l,ms-l,mo-h,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2LV5432PV1S39,English,test,test_yarn,present,mo-h,ms-h,mo-l,0,1,1,1,0,0,1,0,1,1,1,0,0,0
A1BZNPQ0H7ZSER,English,test,test_yarn,present,mo-l,ms-h,exh,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A1BZNPQ0H7ZSER,English,test,test_coffee,present,mo-h,exh,mo-l,1,1,1,0,0,0,1,1,1,1,0,0,0,0
A1BZNPQ0H7ZSER,English,test,test_dentist,present,ms-l,ms-h,mo-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
AC7Z8O1RETQC4,ENGLISH,test,test_coffee,present,mo-l,mo-h,ms-h,0,1,1,1,0,0,1,0,1,1,1,0,0,0
AC7Z8O1RETQC4,ENGLISH,test,test_yarn,present,mo-l,fa,ms-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
AC7Z8O1RETQC4,ENGLISH,test,test_books,present,fa,mo-l,exh,1,0,1,0,0,0,1,1,0,1,0,0,0,0
A15SJZQBR8I3B3,English,test,test_yarn,present,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2KPTC4K228GM3,ENGLISH,test,test_books,present,mo-h,ms-l,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2KPTC4K228GM3,ENGLISH,test,test_hair,present,ms-l,mo-h,mo-l,0,1,1,0,1,0,1,0,1,1,0,1,0,0
A2KPTC4K228GM3,ENGLISH,test,test_dentist,present,mo-l,ms-h,ms-l,0,0,1,1,1,0,1,0,0,1,1,1,0,0
A2KPTC4K228GM3,ENGLISH,test,test_shoes,present,exh,mo-l,ms-h,1,0,1,1,0,0,1,1,0,1,1,0,0,0
A2KPTC4K228GM3,ENGLISH,test,test_yarn,present,mo-l,fa,exh,1,0,1,0,0,0,1,1,0,1,0,0,0,0
A38JCBX2DD2ILP,ENGLISH,test,test_hair,present,ms-h,mo-l,mo-h,0,1,1,1,0,0,1,0,0,1,1,0,0,0
A38JCBX2DD2ILP,ENGLISH,test,test_yarn,present,mo-l,fa,ms-l,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A1Q16A7AICS0C4,ENGLISH,test,test_coffee,present,ms-h,mo-l,ms-l,0,0,1,1,1,0,1,0,0,1,0,0,0,0
A1Q16A7AICS0C4,ENGLISH,test,test_yarn,present,ms-l,mo-l,fa,0,0,1,0,1,0,1,0,0,1,0,1,0,0
A1Q16A7AICS0C4,ENGLISH,test,test_hair,present,mo-h,fa,mo-l,0,1,1,0,0,0,1,0,0,1,0,0,0,0
